price,accommodates,bathrooms,bedrooms,beds,Elevator in building,Internet,Family/kid friendly,Wireless Internet,Buzzer/wireless intercom,Kitchen,Doorman,Wheelchair accessible,Cable TV,Hot tub,Gym,Pool,TV,Dryer,Washer,Essentials,Shampoo,Heating,Air conditioning,Pets allowed,Suitable for events,Smoking allowed,Indoor fireplace,Breakfast,Laptop friendly workspace,Iron,Hangers,Hair dryer,Private living room,Private entrance,Parking,restaurant,atm,cinema,hospital,nightclub,park,mall,gallery,museum,supermarket,bus_stop,minimum_nights_MN1,minimum_nights_MN2,minimum_nights_MN3,minimum_nights_MN_,number_of_reviews_H,number_of_reviews_L,number_of_reviews_M,number_of_reviews_O,instant_bookable_f,instant_bookable_t,num_page_saved_H,num_page_saved_L,num_page_saved_M,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,bed_type_Other,bed_type_Real Bed,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Other,calculated_host_listings_count_M,calculated_host_listings_count_S
35,1,1.5,1.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,353.0,2461,4402,4407.0,2574.0,3520,6650.0,15000.0,15000.0,385,269.0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
35,3,1.0,1.0,3.0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,601.0,900,5601,4880.0,975.0,2846,6733.0,15000.0,9448.0,1487,186.0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
110,5,1.0,2.0,4.0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1008.0,2091,5035,5075.0,2470.0,3896,7268.0,15000.0,15000.0,983,71.0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
80,3,1.0,1.0,1.0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,789.0,2871,2906,2312.0,3597.0,2636,4699.0,15000.0,9223.0,1539,119.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1
35,1,1.0,1.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,647.0,923,5734,4951.0,1089.0,2970,6833.0,15000.0,9579.0,1449,274.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0
54,3,1.5,1.0,2.0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,497.0,477,5682,5343.0,929.0,3161,7141.0,15000.0,9477.0,1838,89.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
39,1,1.5,1.0,1.0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,515.0,501,5646,5288.0,897.0,3108,7085.0,15000.0,9447.0,1874,143.0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
65,2,1.0,1.0,1.0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,698.0,730,5530,4996.0,845.0,2866,6808.0,15000.0,9362.0,1661,255.0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
39,1,1.5,1.0,1.0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,606.0,539,5808,5369.0,1058.0,3249,7200.0,15000.0,9607.0,1718,100.0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
47,4,0.5,1.0,2.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,137.0,202,183,7137.0,6688.0,3374,8745.0,8721.0,6913.0,196,283.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
